Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.60000E-006,34.30000E-012,10.15600E-003,0.00000E+000,-11.75400E-006,10.15600E-003
1,1,2,-64.80000E-006,51.30000E-012,178.73100E-003,42.00000E-003,-14.27500E-006,178.73100E-003
1,1,3,-56.40000E-006,37.50000E-012,346.95800E-003,84.00000E-003,-9.40200E-006,346.95800E-003
1,1,4,-56.00000E-006,25.50000E-012,515.20400E-003,126.00000E-003,-2.08700E-006,515.20400E-003
1,1,5,-59.70000E-006,21.20000E-012,705.72900E-003,168.00000E-003,6.93400E-006,705.72900E-003
1,1,6,-54.20000E-006,12.10000E-012,873.96500E-003,210.00000E-003,-1.61200E-006,873.96500E-003
1,1,7,-57.30000E-006,9.20000E-012,1.04221E+000,252.00000E-003,-9.69500E-006,1.04221E+000
1,1,8,-59.90000E-006,6.50000E-012,1.21971E+000,294.00000E-003,14.73900E-006,1.21971E+000
1,1,9,-53.50000E-006,9.00000E-012,1.38795E+000,336.00000E-003,10.66900E-006,1.38795E+000
1,1,10,-58.40000E-006,4.70000E-012,1.55618E+000,378.00000E-003,2.95700E-006,1.55618E+000
1,1,11,-59.60000E-006,2.10000E-012,1.72448E+000,420.00000E-003,-6.70500E-006,1.72448E+000
1,1,12,-57.10000E-006,2.20000E-012,1.89316E+000,462.00000E-003,-13.36600E-006,1.89316E+000
1,1,13,-63.80000E-006,600.00000E-015,2.06144E+000,504.00000E-003,-13.60500E-006,2.06144E+000
1,1,14,-64.10000E-006,1.20000E-012,2.22972E+000,546.00000E-003,-8.61500E-006,2.22972E+000
1,1,15,-54.40000E-006,2.20000E-012,2.39799E+000,587.90000E-003,-293.00000E-009,2.39799E+000
1,1,16,-58.30000E-006,4.30000E-012,2.56622E+000,630.00000E-003,9.14500E-006,2.56622E+000
1,1,17,-58.90000E-006,2.40000E-012,2.73449E+000,672.00000E-003,13.18500E-006,2.73449E+000
1,1,18,-53.70000E-006,2.10000E-012,2.90275E+000,714.00000E-003,13.75500E-006,2.90275E+000
1,1,19,-59.10000E-006,700.00000E-015,3.07098E+000,756.00000E-003,8.87600E-006,3.07098E+000
1,1,20,-58.70000E-006,100.00000E-015,3.23923E+000,798.00000E-003,822.00000E-009,3.23923E+000
