Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-61.00000E-006,-2.00000E-012,10.10300E-003,0.00000E+000,1.11900E-006,10.10300E-003
1,1,2,-59.00000E-006,-9.80000E-012,178.66700E-003,42.00000E-003,-9.08900E-006,178.66700E-003
1,1,3,-56.10000E-006,-7.30000E-012,346.92000E-003,84.00000E-003,-13.07100E-006,346.92000E-003
1,1,4,-61.10000E-006,-10.30000E-012,515.16400E-003,126.00000E-003,-14.44300E-006,515.16400E-003
1,1,5,-57.00000E-006,-8.30000E-012,706.24900E-003,168.00000E-003,15.11200E-006,706.24900E-003
1,1,6,-61.50000E-006,-5.60000E-012,874.49700E-003,210.00000E-003,12.98100E-006,874.49700E-003
1,1,7,-67.30000E-006,-26.60000E-012,1.04276E+000,252.00000E-003,6.45600E-006,1.04276E+000
1,1,8,-60.20000E-006,9.20000E-012,1.22116E+000,294.00000E-003,9.73900E-006,1.22116E+000
1,1,9,-63.70000E-006,10.00000E-012,1.38940E+000,336.00000E-003,13.44900E-006,1.38940E+000
1,1,10,-60.30000E-006,-7.80000E-012,1.55765E+000,378.00000E-003,13.60200E-006,1.55765E+000
1,1,11,-55.20000E-006,-14.80000E-012,1.72593E+000,420.00000E-003,8.70000E-006,1.72593E+000
1,1,12,-61.00000E-006,-23.00000E-012,1.89419E+000,462.00000E-003,1.32500E-006,1.89419E+000
1,1,13,-58.60000E-006,-3.80000E-012,2.06244E+000,504.00000E-003,-7.68900E-006,2.06244E+000
1,1,14,-56.70000E-006,-32.20000E-012,2.23125E+000,546.00000E-003,-13.28100E-006,2.23125E+000
1,1,15,-60.30000E-006,607.40000E-012,2.39951E+000,588.00000E-003,-13.61100E-006,2.39951E+000
1,1,16,-56.60000E-006,-500.50000E-012,2.56773E+000,630.00000E-003,-9.13500E-006,2.56773E+000
1,1,17,-58.60000E-006,7.70000E-012,2.73601E+000,672.00000E-003,-2.44000E-006,2.73601E+000
1,1,18,-60.90000E-006,4.40000E-012,2.90425E+000,714.00000E-003,6.51300E-006,2.90425E+000
