Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-52.10000E-006,-1.90000E-012,10.20500E-003,0.00000E+000,9.27400E-006,10.20500E-003
1,1,2,-44.90000E-006,-2.90000E-012,178.77800E-003,42.00000E-003,14.02100E-006,178.77800E-003
1,1,3,-47.80000E-006,-3.00000E-012,347.01200E-003,84.00000E-003,13.70700E-006,347.01200E-003
1,1,4,-49.70000E-006,-3.20000E-012,515.24300E-003,126.00000E-003,6.69500E-006,515.24300E-003
1,1,5,-45.00000E-006,800.00000E-015,705.43600E-003,168.00000E-003,-12.86700E-006,705.43600E-003
1,1,6,-48.10000E-006,40.60000E-012,873.67100E-003,210.00000E-003,-5.28000E-006,873.67100E-003
1,1,7,-52.20000E-006,5.20000E-012,1.04191E+000,252.00000E-003,3.62600E-006,1.04191E+000
1,1,8,-47.80000E-006,-4.70000E-012,1.21940E+000,294.00000E-003,-13.14600E-006,1.21940E+000
1,1,9,-52.10000E-006,5.90000E-012,1.38764E+000,336.00000E-003,-13.88600E-006,1.38764E+000
1,1,10,-51.70000E-006,12.20000E-012,1.55588E+000,378.00000E-003,-8.97400E-006,1.55588E+000
1,1,11,-47.90000E-006,3.50000E-012,1.72428E+000,420.00000E-003,-173.00000E-009,1.72428E+000
1,1,12,-52.30000E-006,2.80000E-012,1.89252E+000,462.00000E-003,9.05300E-006,1.89252E+000
1,1,13,-50.20000E-006,6.20000E-012,2.06075E+000,504.00000E-003,13.28500E-006,2.06075E+000
1,1,14,-44.40000E-006,3.80000E-012,2.22957E+000,546.00000E-003,13.05200E-006,2.22957E+000
1,1,15,-48.80000E-006,2.00000E-012,2.39779E+000,588.00000E-003,5.87000E-006,2.39779E+000
1,1,16,-48.10000E-006,900.00000E-015,2.56603E+000,630.00000E-003,-2.82800E-006,2.56603E+000
1,1,17,-45.50000E-006,-1.00000E-012,2.73430E+000,672.00000E-003,-9.83800E-006,2.73430E+000
1,1,18,-48.80000E-006,800.00000E-015,2.90253E+000,714.00000E-003,-14.69700E-006,2.90253E+000
1,1,19,-48.90000E-006,600.00000E-015,3.07076E+000,756.00000E-003,-13.27100E-006,3.07076E+000
1,1,20,-48.30000E-006,1.20000E-012,3.23903E+000,798.00000E-003,-5.75800E-006,3.23903E+000
1,1,21,-51.90000E-006,4.40000E-012,3.40727E+000,839.90000E-003,2.89600E-006,3.40727E+000
1,1,22,-49.70000E-006,2.20000E-012,3.57560E+000,882.00000E-003,9.96100E-006,3.57560E+000
1,1,23,-48.70000E-006,-100.00000E-015,3.74385E+000,924.00000E-003,14.90500E-006,3.74385E+000
1,1,24,-52.70000E-006,2.50000E-012,3.91210E+000,966.00000E-003,12.96500E-006,3.91210E+000
1,1,25,-49.10000E-006,600.00000E-015,4.08035E+000,1.00800E+000,5.71000E-006,4.08035E+000
1,1,26,-46.10000E-006,-1.40000E-012,4.24880E+000,1.05000E+000,-4.26200E-006,4.24880E+000
1,1,27,-49.50000E-006,900.00000E-015,4.41707E+000,1.09200E+000,-10.54800E-006,4.41707E+000
1,1,28,-46.10000E-006,1.20000E-012,4.58531E+000,1.13400E+000,-15.11900E-006,4.58531E+000
1,1,29,-46.20000E-006,2.20000E-012,4.75357E+000,1.17600E+000,-12.61800E-006,4.75357E+000
1,1,30,-49.30000E-006,900.00000E-015,4.92181E+000,1.21790E+000,-4.58700E-006,4.92181E+000
1,1,31,-45.40000E-006,-2.00000E-012,5.09006E+000,1.26000E+000,4.40600E-006,5.09006E+000
1,1,32,-49.90000E-006,-4.10000E-012,5.25834E+000,1.30200E+000,10.70500E-006,5.25834E+000
1,1,33,-52.70000E-006,-9.20000E-012,5.42657E+000,1.34400E+000,15.04900E-006,5.42657E+000
1,1,34,-47.80000E-006,-8.10000E-012,5.59483E+000,1.38600E+000,12.51800E-006,5.59483E+000
1,1,35,-50.30000E-006,-25.10000E-012,5.76310E+000,1.42800E+000,4.57700E-006,5.76310E+000
1,1,36,-52.70000E-006,-1.10000E-012,5.93135E+000,1.47000E+000,-4.55500E-006,5.93135E+000
1,1,37,-47.50000E-006,900.00000E-015,6.09959E+000,1.51200E+000,-10.72300E-006,6.09959E+000
1,1,38,-48.70000E-006,2.90000E-012,6.26785E+000,1.55400E+000,-14.96500E-006,6.26785E+000
1,1,39,-49.60000E-006,4.50000E-012,6.43610E+000,1.59600E+000,-12.54400E-006,6.43610E+000
1,1,40,-44.70000E-006,1.90000E-012,6.60434E+000,1.63800E+000,-4.32400E-006,6.60434E+000
1,1,41,-47.40000E-006,900.00000E-015,6.77260E+000,1.68000E+000,4.80200E-006,6.77260E+000
1,1,42,-49.20000E-006,6.00000E-012,6.94083E+000,1.72200E+000,10.84300E-006,6.94083E+000
1,1,43,-44.40000E-006,1.50000E-012,7.10908E+000,1.76400E+000,14.94400E-006,7.10908E+000
1,1,44,-49.80000E-006,3.00000E-012,7.27735E+000,1.80600E+000,12.38800E-006,7.27735E+000
1,1,45,-52.30000E-006,2.60000E-012,7.44558E+000,1.84800E+000,4.34400E-006,7.44558E+000
