Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-800.00000E-009,19.40000E-012,10.02400E-003,0.00000E+000,-13.61300E-006,10.02400E-003
1,1,2,-600.00000E-009,48.40000E-012,178.60300E-003,42.00000E-003,-7.39900E-006,178.60300E-003
1,1,3,-700.00000E-009,38.00000E-012,346.85300E-003,84.00000E-003,429.00000E-009,346.85300E-003
1,1,4,-700.00000E-009,23.70000E-012,515.09300E-003,126.00000E-003,9.04000E-006,515.09300E-003
1,1,5,-700.00000E-009,12.90000E-012,705.32100E-003,168.00000E-003,-935.00000E-009,705.32100E-003
1,1,6,-600.00000E-009,11.10000E-012,873.56500E-003,210.00000E-003,-9.18300E-006,873.56500E-003
1,1,7,-700.00000E-009,10.20000E-012,1.04182E+000,252.00000E-003,-13.41100E-006,1.04182E+000
1,1,8,-700.00000E-009,8.20000E-012,1.21940E+000,294.00000E-003,12.46700E-006,1.21940E+000
1,1,9,-600.00000E-009,4.10000E-012,1.38764E+000,336.00000E-003,4.83000E-006,1.38764E+000
1,1,10,-700.00000E-009,-500.00000E-015,1.55588E+000,378.00000E-003,-3.69700E-006,1.55588E+000
1,1,11,-600.00000E-009,700.00000E-015,1.72415E+000,420.00000E-003,-9.86200E-006,1.72415E+000
1,1,12,-700.00000E-009,700.00000E-015,1.89240E+000,462.00000E-003,-14.34700E-006,1.89240E+000
1,1,13,-600.00000E-009,-100.00000E-015,2.06063E+000,504.00000E-003,-13.80000E-006,2.06063E+000
1,1,14,-500.00000E-009,8.10000E-012,2.22947E+000,546.00000E-003,-4.28400E-006,2.22947E+000
1,1,15,-600.00000E-009,1.70000E-012,2.39771E+000,588.00000E-003,4.20500E-006,2.39771E+000
1,1,16,-700.00000E-009,2.40000E-012,2.56595E+000,630.00000E-003,10.02600E-006,2.56595E+000
1,1,17,-600.00000E-009,4.10000E-012,2.73424E+000,672.00000E-003,14.94100E-006,2.73424E+000
1,1,18,-600.00000E-009,2.60000E-012,2.90258E+000,714.00000E-003,12.95800E-006,2.90258E+000
1,1,19,-600.00000E-009,500.00000E-015,3.07083E+000,756.00000E-003,6.08100E-006,3.07083E+000
1,1,20,-500.00000E-009,1.60000E-012,3.23910E+000,798.00000E-003,-2.32600E-006,3.23910E+000
1,1,21,-500.00000E-009,1.80000E-012,3.40736E+000,840.00000E-003,-9.68000E-006,3.40736E+000
1,1,22,-700.00000E-009,900.00000E-015,3.57557E+000,882.00000E-003,-13.44600E-006,3.57557E+000
1,1,23,-500.00000E-009,1.50000E-012,3.74384E+000,924.00000E-003,-13.73100E-006,3.74384E+000
1,1,24,-700.00000E-009,1.80000E-012,3.91208E+000,966.00000E-003,-8.22500E-006,3.91208E+000
1,1,25,-600.00000E-009,-100.00000E-015,4.08034E+000,1.00800E+000,-514.00000E-009,4.08034E+000
1,1,26,-500.00000E-009,2.00000E-012,4.24861E+000,1.05000E+000,8.76200E-006,4.24861E+000
1,1,27,-500.00000E-009,1.60000E-012,4.41685E+000,1.09200E+000,12.97200E-006,4.41685E+000
1,1,28,-500.00000E-009,700.00000E-015,4.58509E+000,1.13400E+000,14.41300E-006,4.58509E+000
1,1,29,-600.00000E-009,2.80000E-012,4.75336E+000,1.17600E+000,10.21300E-006,4.75336E+000
1,1,30,-700.00000E-009,1.30000E-012,4.92160E+000,1.21800E+000,2.89100E-006,4.92160E+000
1,1,31,-600.00000E-009,-1.50000E-012,5.08984E+000,1.26000E+000,-5.97300E-006,5.08984E+000
1,1,32,-400.00000E-009,1.30000E-012,5.25821E+000,1.30200E+000,-11.87500E-006,5.25821E+000
1,1,33,-600.00000E-009,1.80000E-012,5.42645E+000,1.34400E+000,-14.74300E-006,5.42645E+000
1,1,34,-600.00000E-009,1.50000E-012,5.59469E+000,1.38600E+000,-12.30500E-006,5.59469E+000
1,1,35,-600.00000E-009,2.00000E-012,5.76295E+000,1.42800E+000,-4.36100E-006,5.76295E+000
1,1,36,-700.00000E-009,1.60000E-012,5.93119E+000,1.47000E+000,4.20000E-006,5.93119E+000
1,1,37,-600.00000E-009,2.30000E-012,6.09944E+000,1.51200E+000,10.08300E-006,6.09944E+000
1,1,38,-600.00000E-009,5.80000E-012,6.26771E+000,1.55400E+000,14.90200E-006,6.26771E+000
1,1,39,-600.00000E-009,-600.00000E-015,6.43596E+000,1.59600E+000,13.28000E-006,6.43596E+000
1,1,40,-400.00000E-009,2.90000E-012,6.60419E+000,1.63800E+000,6.56900E-006,6.60419E+000
1,1,41,-600.00000E-009,400.00000E-015,6.77246E+000,1.68000E+000,-1.74600E-006,6.77246E+000
1,1,42,-500.00000E-009,2.20000E-012,6.94071E+000,1.72200E+000,-9.57700E-006,6.94071E+000
1,1,43,-400.00000E-009,2.70000E-012,7.10894E+000,1.76400E+000,-13.40700E-006,7.10894E+000
